Key;Item Type;Publication Year;Author;Title;Publication Title;ISSN;DOI;Abstract Note;Pages;Issue;Volume;Language;Manual Tags
4BX5NRRX;journalArticle;2019;Kirsch, A;A unifying computational model of decision making;COGNITIVE PROCESSING;1612-4782;10.1007/s10339-019-00904-3;Decision making has long been of interest as a descriptive phenomenon in psychology and as a generative one in artificial intelligence. Research ranges from general, descriptive models of heuristic decision making to detailed studies of decision parameters. This paper introduces a model that formalizes and integrates several descriptive models so that it can serve both as a framework for psychological models and as an algorithm for computational decision making. We set special focus on the instantiation of this model with respect to aggregating cue values by reviewing some methods from the field of computational social choice. To show its applicability in the context of artificial intelligence we present a case study of computational problem solving.;243-259;2;20;English;"Computational social choice; Decision making; Heuristics; HEURISTICS; HUMAN-PERFORMANCE; STRATEGIES; TRAVELING SALESMAN"
YTLVLAEL;journalArticle;2024;"Weng, XJ; Ye, HY; Dai, Y; Ng, OL";Integrating Artificial Intelligence and Computational Thinking in Educational Contexts: A Systematic Review of Instructional Design and Student Learning Outcomes;JOURNAL OF EDUCATIONAL COMPUTING RESEARCH;0735-6331;10.1177/07356331241248686;A growing body of research is focusing on integrating artificial intelligence (AI) and computational thinking (CT) to enhance student learning outcomes. Many researchers have designed instructional activities to achieve various learning goals within this field. Despite the prevalence of studies focusing on instructional design and student learning outcomes, how instructional efforts result in the integration of AI and CT in students' learning processes remains unclear. To address this research gap, we conducted a systematic literature review of empirical studies that have integrated AI and CT for student development. We collected 18 papers from four prominent research databases in the fields of education and AI technology: Web of Science, Scopus, IEEE, and ACM. We coded the collected studies, highlighting the students' learning processes in terms of research methodology and context, learning tools and instructional design, student learning outcomes, and the interaction between AI and CT. The integration of AI and CT occurs in two ways: the integration of disciplinary knowledge and leveraging AI tools to learn CT. Specifically, we discovered that AI- and CT-related tools, projects, and problems facilitated student-centered instructional designs, resulting in productive AI and CT learning outcomes.;1640-1670;6;62;English;"artificial intelligence; computational thinking; COURSES; instructional design; learning outcomes; MATHEMATICS; PERFORMANCE; SCHOOL-STUDENTS; systematic review; Artificial Intelligence; Computation; Thinking Skills; Technology Integration; Instructional Design; Technology Uses in Education; Student Development; Educational Environment; Educational Research; Outcomes of Education"
2ICWJVVY;journalArticle;2024;"Ameen, LT; Yousif, MR; Alnoori, NAJ; Majeed, BH";The Impact of Artificial Intelligence on Computational Thinking in Education at University;INTERNATIONAL JOURNAL OF ENGINEERING PEDAGOGY;2192-4880;10.3991/ijep.v14i5.49995;"This study aims to reveal the role of one of the artificial intelligence (AI) techniques, ""ChatGPT,"" in improving the educational process by following it as a teaching method for the subject of automatic analysis for students of the Chemistry Department and the subject of computer security for students of the Computer Science Department, from the fourth stage at the College of Education for Pure Science (Ibn Al-Haitham), and its impact on their computational thinking to have a good educational environment. The experimental approach was used, and the research samples were chosen intentionally by the research community. Research tools were prepared, which included a scale for CT that included 12 items and the achievement test in both scientific subjects for departments as the second tool. They reached a lot of conclusions. Accordingly, a set of recommendations were proposed.";;5;14;English;"computational thinking; achievement; artificial intelligence (AI); ChatGPT; chemistry; computer science; education; effect; students; university"
ZVIZFWPV;journalArticle;2023;Celik, I;Exploring the Determinants of Artificial Intelligence (AI) Literacy: Digital Divide, Computational Thinking, Cognitive Absorption;TELEMATICS AND INFORMATICS;0736-5853;10.1016/j.tele.2023.102026;To effectively utilize artificial intelligence (AI)-based technologies such as ChatGPT and realize their novel ethical issues, individuals must have a variety of knowledge and skills about AI. Such knowledge and skills have led to the emergence of AI literacy. Despite the importance of AI literacy in everyday life, little is known about its determinants. To better understand the determinants of AI literacy, we attempted to build a research model relying on previous research and different theoretical frameworks. The model incorporated digital divide, cognitive absorption, and computational thinking. As a major finding from the current study, computational thinking was found to be a significant determinant of AI literacy, which facilitate using, recognizing, and evaluating AI-based technologies. Moreover, we found out that individuals with physical access to information and communication technologies (ICTs) are more expected to use and recognize AI. Also, motivation and skills in using ICTs enable individuals to better evaluate the outcomes of AI-based technologies. The findings also showed that convenient access to ICTs contributes to a deep involvement with AI-based technologies in the use. Further, individuals with higher motivation and skills to use AI technologies are likely to have a pleasant experience after using these technologies.;;;83;English;"ChatGPT; ACCESS; AI Literacy; Cognitive Absorption; Computational Thinking; Digital Divide; FUTURE; INEQUALITIES; INFORMATION; INSTRUMENT; INTERNET; MODELS; VALIDITY"
SEJBC7RF;journalArticle;2024;"Su, JH; Yang, WP; Yim, IHY; Li, H; Hu, X";Early artificial intelligence education: Effects of cooperative play and direct instruction on kindergarteners' computational thinking, sequencing, self-regulation and theory of mind skills;JOURNAL OF COMPUTER ASSISTED LEARNING;0266-4909;10.1111/jcal.13040;"Background: While the integration of robot-based learning in early childhood education has gained increasing attention in recent years, there is still a lack of evidence regarding the impact of AI robots on young children's learning. Objectives: The study explored the effectiveness of two AI education approaches in advancing kindergarteners' computational thinking, sequencing, self-regulation and theory of mind skills. Methods: An experiment was conducted with 90 kindergarteners (ages 5-6) randomly assigned to either a direct instruction (DI), cooperative play (CP) or control group. Results: Results show that (1) children in all three groups had significant improvements on computational thinking, sequencing and self-regulation; (2) both early AI education approaches (CP and DI) significantly enhance young children's computational thinking, sequencing, self-regulation and theory of mind skills; (3) the DI group had significant higher improvement than the CP group on computational thinking; (4) the CP group exhibited greater enhancements in theory of mind skills than the DI group. Conclusion: These findings jointly demonstrate that each AI educational approach has unique strengths, underscoring the significance of designing new pedagogies to expand children's skills.";2917-2925;6;40;English;"computational thinking; ABILITY; AI education; early childhood education; ROBOTICS; SCHOOL READINESS; self-regulation; sequencing; TEACHER; theory of mind skills; Artificial Intelligence; Kindergarten; Computation; Thinking Skills; Early Childhood Education; Cooperation; Program Effectiveness; Direct Instruction; Intervention; Play; Self Management; Sequential Learning; Theory of Mind"
EJBD9Z6H;journalArticle;2024;"Ahn, YH; Oh, EY";Effects of the International Training Program for Enhancing Intelligent Capabilities through Blended Learning on Computational Thinking, Artificial Intelligence Competencies, and Core Competencies for the Future Society in Graduate Students;APPLIED SCIENCES-BASEL;2076-3417;10.3390/app14030991;Background: The purpose of this study is to find the effects of the international training program for enhancing intelligent capabilities through blended learning on computational thinking, artificial intelligence (AI) competency, and core competencies for the future society in graduated students enrolled in the Smart Information Communication Technology (SMART ICT) course. The teaching model followed the ADDIE framework. Methods: This study is a quasi-experimental study based on nonequivalent control group design. Study subjects were assigned to an experimental (n = 20) or control group (n = 20). The experimental group participated in the international training program in the blended learning form, real-time online classes (60 min per session for a week, six sessions) and face-to-face classes (4-8 h per session for 9 days, six sessions). The variables were measured with a self-report questionnaire and were evaluated before, right after, and in the 12th week of the program. Results: The AI competency of the experimental group was observed to be significantly changed at the points of time (F = 6.76, p = 0.002), and in comparison with that of a different group (F = 9.77, p = 0.003). Conclusions: This study suggests applying an international training program based on blended learning to strengthen intelligence capabilities such as artificial intelligence capabilities.;;3;14;English;"artificial intelligence; computational thinking; blended learning; core competencies; information and communication technology (ICT); intelligence; international training program; TECHNOLOGY"
EEHAPGU6;journalArticle;2024;"Blancia, GVV; Fetalvero, EG; Baldera, PR; Mani, MC";THE MEDIATING EFFECTS OF ARTIFICIAL INTELLIGENCE LITERACY ON THE ASSOCIATION BETWEEN COMPUTATIONAL THINKING SKILLS AND ORGANIZATIONAL AGILITY AMONG SECONDARY SCHOOL TEACHERS;PROBLEMS OF EDUCATION IN THE 21ST CENTURY;1822-7864;10.33225/pec/24.82.616;These days'educational landscape forces teachers to adapt to changing demands and embrace innovations. In this study, Artificial Intelligence (AI) literacy was analyzed as how it mediates the association between Computational Thinking Skills (CTS) and Organizational Agility (OA) among secondary teachers. A quantitative causal mediation analysis design was utilized in this study. Standardized AI literacy test, CTS Test, and OA test instruments were utilized to gather pertinent data among 305 respondents. The test instruments were first subjected to confirmatory factor analysis for model fitness. Path and mediation analysis through structural equation modeling revealed that CTS significantly predicts AI literacy, AI Literacy significantly predicts OA, and CTS significantly predicts OA. It was found out that AI literacy partially mediates the relationship between CTS and OA among teachers. This recommends that schools should conduct a comprehensive training program to enhance teachers' CTS and AI proficiency for schools' sustained agility.;616-629;5;82;English;"MATHEMATICS; AI literacy; computational thinking skills; mediation analysis; organizational agility; structural equation modeling; Artificial Intelligence; Foreign Countries; Thinking Skills; Mental Computation; Organizational Objectives; Philippines; Secondary School Teachers; Teacher Characteristics; Technological Literacy"
336X8HTJ;journalArticle;2024;"Kalay, SE; Ipek, J";Bibliometric Analysis of Artificial Intelligence Studies in Computational Thinking;INTERNATIONAL JOURNAL ON STUDIES IN EDUCATION;2690-7909;10.46328/ijonse.248;Computational thinking is an approach used to solve complex problems with basic skills such as decomposition, pattern recognition, abstraction and algorithm design. Especially artificial intelligence and its sub-fields make significant contributions to the development of these skills. This study aims to evaluate the research in the field of artificial intelligence in the computational thinking process through bibliometric analysis. The data of the study were obtained from the Web of Science (WoS) database on May 1, 2024. The VOSviewer software program, which is frequently used in bibliometric analysis and can be used free of charge, was used to analyze the data obtained from the WoS database. Analyses using the data obtained from the WoS database enabled the analysis of research in this field in terms of countries, authors, co-authorship status, publication journals, publication years and keywords. The findings of the study show that Taiwan is the country with the highest number of studies in this field, while Spain is the country with the highest number of citations. Hooshyar, D and Hsu, T are among the authors who contributed to the most publications. Collaboration plays an important role in research and Lai, C stands out as the author with the most co- authorship. Education and Information Technologies and Kunstliche Intelligenz are among the journals where the most studies are published. As a result of the examination of the 5 most cited studies, it was determined that different research methods and participant groups were used, data collection tools varied and different data analysis methods were used. These studies provide a broad perspective on artificial intelligence studies in the field of computational thinking and make important contributions to the literature in this field.;;4;6;English;"Artificial intelligence; Bibliometric analysis; Computational thinking; TRENDS"
CVFE698F;journalArticle;2023;"Hij—n-Neira, R; Connolly, C; Pizarro, C; PŽrez-Mar’n, D";Prototype of a Recommendation Model with Artificial Intelligence for Computational Thinking Improvement of Secondary Education Students;COMPUTERS;2073-431X;10.3390/computers12060113;There is a growing interest in finding new ways to address the difficult task of introducing programming to secondary students for the first time to improve students' computational thinking (CT) skills. Therefore, extensive research is required in this field. Worldwide, new ways to address this difficult task have been developed: visual execution environments and approaches by text programming or visual programming are among the most popular. This paper addresses the complex task by using a visual execution environment (VEE) to introduce the first programming concepts that should be covered in any introductory programming course. These concepts include variables, input and output, conditionals, loops, arrays, functions, and files. This study explores two approaches to achieve this goal: visual programming (using Scratch) and text programming (using Java) to improve CT. Additionally, it proposes an AI recommendation model into the VEE to further improve the effectiveness of developing CT among secondary education students. This integrated model combines the capabilities of an AI learning system module and a personalized learning module to better address the task at hand. To pursue this task, an experiment has been carried out among 23 preservice secondary teachers' students in two universities, one in Madrid, Spain, and the other in Galway, Ireland. The overall results showed a significant improvement in the Scratch group. However, when analyzing the results based on specific programming concepts, significance was observed only in the Scratch group, specifically for the Loop concept.;;6;12;English;"computational thinking; preservice teachers; programming; recommendation model with AI; secondary education"
GAUC3GDM;journalArticle;2025;Hsu, HP;From Programming to Prompting: Developing Computational Thinking through Large Language Model-Based Generative Artificial Intelligence;TECHTRENDS;8756-3894;10.1007/s11528-025-01052-6;The advancement of large language model-based generative artificial intelligence (LLM-based GenAI) has sparked significant interest in its potential to address challenges in computational thinking (CT) education. CT, a critical problem-solving approach in the digital age, encompasses elements such as abstraction, iteration, and generalisation. However, its abstract nature often poses barriers to meaningful teaching and learning. This paper proposes a constructionist prompting framework that leverages LLM-based GenAI to foster CT development through natural language programming and prompt engineering. By engaging learners in crafting and refining prompts, the framework aligns CT elements with five prompting principles, enabling learners to apply and develop CT in contextual and organic ways. A three-phase workshop is proposed to integrate the framework into teacher education, equipping future teachers to support learners in developing CT through interactions with LLM-based GenAI. The paper concludes by exploring the framework's theoretical, practical, and social implications, advocating for its implementation and validation.;485-506;3;69;English;"Computational thinking; Constructionism; DESIGN; EDUCATION; Generative artificial intelligence; K-12; Large language model; Natural language programming; NATURAL-LANGUAGE; Prompt engineering; TEACHERS; Artificial Intelligence; Programming; Computation; Problem Solving; Prompting; Thinking Skills; Natural Language Processing; Engineering; Teacher Workshops"
